,ADJ,SYM,START,NUM,INTJ,PART,PROPN,PUNCT,ADV,AUX,X,NOUN,VERB,PRON,END,DET,ADP,CCONJ,SCONJ
ADJ,27.82758620689655,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.9310344827586207,0.0,0.0,0.9310344827586207,0.896551724137931,0.27586206896551724,0.0,0.0,0.0,0.0,0.0
SYM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
START,0.0,0.0,35.689655172413794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUM,0.06896551724137931,0.0,0.0,3.1724137931034484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3793103448275862,0.0,0.06896551724137931,0.0,0.0,0.0
INTJ,0.0,0.0,0.0,0.0,1.103448275862069,0.0,0.0,0.0,0.10344827586206896,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.2413793103448276,0.0,0.0,0.0
PART,0.0,0.0,0.0,0.0,0.0,13.89655172413793,0.0,0.06896551724137931,0.0,0.27586206896551724,0.0,0.0,0.0,0.0,0.0,0.0,2.6551724137931036,0.0,0.0
PROPN,0.27586206896551724,0.0,0.0,0.2413793103448276,0.0,0.0,13.551724137931034,0.0,0.20689655172413793,0.0,0.0,1.103448275862069,0.27586206896551724,0.034482758620689655,0.0,0.0,0.0,0.0,0.0
PUNCT,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.0,75.51724137931035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADV,1.5517241379310345,0.0,0.0,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.6206896551724138,0.0,24.448275862068964,0.0,0.034482758620689655,1.5862068965517242,0.4482758620689655,0.10344827586206896,0.0,0.06896551724137931,1.1379310344827587,0.1724137931034483,0.2413793103448276
AUX,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,32.55172413793103,0.0,0.034482758620689655,4.689655172413793,0.0,0.0,0.0,0.0,0.0,0.0
X,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOUN,5.793103448275862,0.0,0.0,0.41379310344827586,0.034482758620689655,0.0,3.4482758620689653,0.06896551724137931,0.41379310344827586,0.0,0.0,99.17241379310344,5.241379310344827,0.0,0.0,0.0,0.13793103448275862,0.0,0.06896551724137931
VERB,3.9310344827586206,0.0,0.0,0.27586206896551724,0.1724137931034483,0.0,1.6551724137931034,0.0,1.4137931034482758,1.3103448275862069,0.13793103448275862,6.275862068965517,59.44827586206897,0.0,0.0,0.0,0.1724137931034483,0.0,0.034482758620689655
PRON,0.13793103448275862,0.0,0.0,0.20689655172413793,0.0,0.0,0.0,0.0,0.5862068965517241,0.0,0.0,0.034482758620689655,0.0,58.58620689655172,0.0,1.5172413793103448,0.0,0.034482758620689655,0.1724137931034483
END,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.689655172413794,0.0,0.0,0.0,0.0
DET,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.4482758620689655,0.0,0.0,0.034482758620689655,0.0,1.4482758620689655,0.0,53.758620689655174,0.0,0.0,0.0
ADP,0.034482758620689655,0.0,0.0,0.0,0.0,2.5172413793103448,0.0,0.0,3.6551724137931036,0.0,0.0,0.06896551724137931,0.034482758620689655,0.0,0.0,0.0,52.13793103448276,0.034482758620689655,0.896551724137931
CCONJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.13793103448275862,18.137931034482758,0.0
SCONJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0,0.0,0.0,0.0,1.8275862068965518,0.0,0.3103448275862069,1.4482758620689655,0.0,8.310344827586206
